unit,isced97,hlth_pb,sex,age,time,geo,value
THS,ED3_4,TOTAL,T,Y35-44,2011,BE ,581.168
THS,ED3_4,TOTAL,F,Y45-54,2011,BE ,285.831
THS,ED3_4,TOTAL,M,Y45-54,2011,BE ,286.057
THS,ED3_4,TOTAL,T,Y45-54,2011,BE ,571.889
THS,ED3_4,TOTAL,F,Y55-64,2011,BE ,211.81
THS,ED3_4,TOTAL,M,Y55-64,2011,BE ,203.562
THS,ED3_4,TOTAL,T,Y55-64,2011,BE ,415.372
THS,ED5_6,PB1040,F,TOTAL,2011,BE ,100.505
THS,ED5_6,PB1040,M,TOTAL,2011,BE ,63.747
THS,ED5_6,PB1040,T,TOTAL,2011,BE ,164.252
THS,ED5_6,PB1040,F,Y15-24,2011,BE ,
THS,ED5_6,PB1040,M,Y15-24,2011,BE ,
THS,ED5_6,PB1040,T,Y15-24,2011,BE ,2.671
THS,ED5_6,PB1040,F,Y25-34,2011,BE ,14.298
THS,ED5_6,PB1040,M,Y25-34,2011,BE ,8.866
THS,ED5_6,PB1040,T,Y25-34,2011,BE ,23.165
THS,ED5_6,PB1040,F,Y35-44,2011,BE ,21.17
THS,ED5_6,PB1040,M,Y35-44,2011,BE ,10.975
THS,ED5_6,PB1040,T,Y35-44,2011,BE ,32.146
THS,ED5_6,PB1040,F,Y45-54,2011,BE ,33.174
THS,ED5_6,PB1040,M,Y45-54,2011,BE ,17.308
THS,ED5_6,PB1040,T,Y45-54,2011,BE ,50.482
THS,ED5_6,PB1040,F,Y55-64,2011,BE ,31.194
THS,ED5_6,PB1040,M,Y55-64,2011,BE ,24.594
THS,ED5_6,PB1040,T,Y55-64,2011,BE ,55.789
THS,ED5_6,PB1041,F,TOTAL,2011,BE ,1059.358
THS,ED5_6,PB1041,M,TOTAL,2011,BE ,913.193
THS,ED5_6,PB1041,T,TOTAL,2011,BE ,1972.551
THS,ED5_6,PB1041,F,Y15-24,2011,BE ,83.34
THS,ED5_6,PB1041,M,Y15-24,2011,BE ,59.037
THS,ED5_6,PB1041,T,Y15-24,2011,BE ,142.376
THS,ED5_6,PB1041,F,Y25-34,2011,BE ,322.824
